-----
{
 "description": "The table refers to district wise distribution of dugwells according to ownership. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "Statedgwltab1.2.csv", 
 "title": "Download CSV for District wise Distribution of Dugwells according to ownership for 2nd census of minor irrigation schemes", 
 "url": "http://data.gov.in/sites/default/files/Statedgwltab1.2.csv"
}
-----
"State","District","Government","Cooperative Societies","Panchayat","Group of farmers","Individual farmers","Others","Total"
"UTTAR PRADESH","BASTI",2,0,1,19,1091,2,1115
"UTTAR PRADESH","BIJNOR",0,0,0,0,279,0,279
"UTTAR PRADESH","BULANDSHAHR",0,0,0,0,98,0,98
"UTTAR PRADESH","CHAMOLI(GOPESHWAR)",NA,NA,NA,NA,NA,NA,0
"UTTAR PRADESH","DEHRADUN",0,0,5,0,29,1,35
"UTTAR PRADESH","DEORIA",1,0,2,0,3355,0,3358
"UTTAR PRADESH","ETAH",0,0,0,0,1820,0,1820
"UTTAR PRADESH","ETAWAH",0,0,0,0,614,0,614
"UTTAR PRADESH","FAIZABAD",NA,NA,NA,NA,NA,NA,0
"UTTAR PRADESH","FARUKHABAD",0,0,0,0,57,0,57
"UTTAR PRADESH","FATEHPUR",2,0,0,4,1549,0,1555
"UTTAR PRADESH","FIROZABAD",0,0,0,0,1431,0,1431
"UTTAR PRADESH","GHAZIABAD",NA,NA,NA,NA,NA,NA,0
"UTTAR PRADESH","GHAZIPUR",7,0,1,8,415,0,431
"UTTAR PRADESH","GONDA",0,0,0,0,728,0,728
"UTTAR PRADESH","GORAKHPUR",0,0,0,0,2343,0,2343
"UTTAR PRADESH","HAMIRPUR",2,0,2,15,2194,7,2220
"UTTAR PRADESH","HARDOI",2,0,0,0,1185,0,1187
"UTTAR PRADESH","HARDWAR",0,0,0,0,254,0,254
"UTTAR PRADESH","JALAUN",1,0,1,6,3377,0,3385
"UTTAR PRADESH","JAUNPUR",10,0,21,2,1957,0,1990
"UTTAR PRADESH","JHANSI",28,4,28,5197,30806,6,36069
"UTTAR PRADESH","KANPUR DEHAT",13,3,76,0,1,0,93
"UTTAR PRADESH","KANPUR NAGAR",NA,NA,NA,NA,NA,NA,0
"UTTAR PRADESH","KHIRI",NA,NA,NA,NA,NA,NA,0
"UTTAR PRADESH","KUSHI NAGAR",2,0,1,0,884,0,887
"UTTAR PRADESH","LALITPUR",4,1,339,10252,13165,0,23761
"UTTAR PRADESH","LUCKNOW",0,1,0,0,745,0,746
"UTTAR PRADESH","MAHOBA",5,0,1,4,12808,1,12819
"UTTAR PRADESH","MAHRAJGANJ",0,0,0,1,310,0,311
"UTTAR PRADESH","MAINPURI",0,0,5,74,264,0,343
"UTTAR PRADESH","MATHURA",0,0,0,83,793,0,876
"UTTAR PRADESH","MAU",NA,NA,NA,NA,NA,NA,0
"UTTAR PRADESH","MEERUT",0,0,0,0,11,0,11
"UTTAR PRADESH","MIRZAPUR",13,0,10,0,3241,0,3264
"UTTAR PRADESH","MORADABAD",1,0,1,1,1630,0,1633
"UTTAR PRADESH","MUZAFFER NAGAR",NA,NA,NA,NA,NA,NA,0
"UTTAR PRADESH","NAINITAL",3,0,0,0,0,0,3
"UTTAR PRADESH","PAURI GARHWAL",NA,NA,NA,NA,NA,NA,0
"UTTAR PRADESH","PILIBHIT",NA,NA,NA,NA,NA,NA,0
"UTTAR PRADESH","PITHORAGARH",NA,NA,NA,NA,NA,NA,0
"UTTAR PRADESH","PRATAPGARH",1,0,0,0,355,0,356
"UTTAR PRADESH","RAEBARELY",0,0,0,1,988,0,989
"UTTAR PRADESH","RAMPUR",NA,NA,NA,NA,NA,NA,0
"UTTAR PRADESH","SAHARANPUR",0,0,0,0,61,0,61
"UTTAR PRADESH","SANT RAVIDAS NAGAR",0,0,0,0,507,2,509
"UTTAR PRADESH","SHAHJAHANPUR",0,0,0,5,970,0,975
"UTTAR PRADESH","SIDDHARTH NAGAR",2,0,0,4,749,0,755
