-----
{
 "description": "The table refers to District wise Distribution of Dugwells in use and their Potential Created/Utilised according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme(2000-01) from Ministry of Water Resources.", 
 "file_name": "dgwlState1.16.csv", 
 "title": "Download CSV for Districtwise Distribution of Dugwells in use and their Potential Created/Utilised according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/dgwlState1.16.csv"
}
-----
"State","District","No. in use - Public","No. in use - Private","No. in use - Total","Potential created (Ha) - Public","Potential created (Ha) - Private","Potential created (Ha) - Total","Potential utilised (Ha) - Public","Potential utilised (Ha) - Private","Potential utilised (Ha) - Total"
"MAHARASHTRA","BEED",87,28305,28392,493,111830,112322,441,102449,102890
"MAHARASHTRA","BHANDARA",32,14313,14345,115,27319,27433,68,23727,23795
"MAHARASHTRA","BULDANA",1,62353,62354,1,136353,136354,1,121038,121039
"MAHARASHTRA","CHANDRAPUR",34,12118,12152,151,25421,25573,145,23967,24112
"MAHARASHTRA","DHULE",98,18991,19089,1102,45890,46992,1085,39686,40772
"MAHARASHTRA","GADCHIROLI",159,9789,9948,130,14228,14358,130,13694,13824
"MAHARASHTRA","GONDIYA",524,6407,6931,632,9990,10623,277,7216,7493
"MAHARASHTRA","HINGOLI",6,20017,20023,30,72069,72099,13,33749,33762
"MAHARASHTRA","JALGAON",298,90100,90398,941,220476,221417,922,205128,206050
"MAHARASHTRA","JALNA",312,45418,45730,609,151603,152212,487,104474,104960
"MAHARASHTRA","KOLHAPUR",281,36722,37003,703,56054,56756,665,47239,47904
"MAHARASHTRA","LATUR",0,27943,27943,0,70283,70283,0,61067,61067
"MAHARASHTRA","NAGPUR",455,58952,59407,869,140501,141371,782,122843,123625
"MAHARASHTRA","NANDED",41,26198,26239,104,82245,82349,81,49771,49852
"MAHARASHTRA","NANDURBAR",11,11472,11483,41,27907,27948,41,27455,27496
"MAHARASHTRA","NASHIK",860,153401,154261,2458,276453,278911,2453,273859,276312
"MAHARASHTRA","OSMANABAD",100,39741,39841,314,122984,123298,237,98946,99183
"MAHARASHTRA","PARBHANI",98,23772,23870,377,96696,97073,215,49227,49442
"MAHARASHTRA","PUNE",735,108262,108997,1924,312813,314738,1686,275843,277529
