-----
{
 "description": "The table refers to Block wise Distribution of Surface Flow Schemes (Temporary diversion) in use and their Potential Created and Utilized according to Public and Private. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowdistr4.17.csv", 
 "title": "Download CSV for Blockwise Distribution of Surface Flow Schemes (Temporary Diversion) in use and their Potential Created and Utilized according to Public and Private", 
 "url": "http://data.gov.in/sites/default/files/srfcflowdistr4.17.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,No. in use - Public,No. in use - Private,No. in use - Total,Potential created (Ha) - Public,Potential created (Ha) - Private,Potential created (Ha) - Total,Potential utilised (Ha) - Public,Potential utilised (Ha) - Private,Potential utilised (Ha) - Total
ANDHRA PRADESH,EAST GODAVARI,GANGAVARAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,GOKAVARAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,GOLLAPROLU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,JAGGAMPETA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,KADIAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,KIRLAMPUDI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,KORUKONDA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,KOTANANDURU,1,0,1,3,0,3,3,0,3
ANDHRA PRADESH,EAST GODAVARI,MANDAPETA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,MAREDUMILLI,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,PEDDAPURAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,PRATHIPADU,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,RAJAHMUNDRY(RURAL),0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,RAJANAGARAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,RAJAVOMMANGI,17,0,17,281,0,281,236,0,236
ANDHRA PRADESH,EAST GODAVARI,RAMPACHODAVARAM,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,RANGAMPETA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,SAMALKOTA,0,0,0,0,0,0,0,0,0
ANDHRA PRADESH,EAST GODAVARI,SANKHAVARAM,0,0,0,0,0,0,0,0,0
