-----
{
 "description": "The table refers to Block wise Culturable Command Area and Potential Created through Surface Flow Schemes. The report has been sourced from 3rd census of minor irrigation scheme (2000-01) from Ministry of Water Resources.", 
 "file_name": "srfcflowdistr4.9.csv", 
 "title": "Download CSV for Blockwise Culturable Command Area and Potential Created through Surface Flow Schemes", 
 "url": "http://data.gov.in/sites/default/files/srfcflowdistr4.9.csv"
}
-----
STATENAME,DISTNAME,BLOCKNAME,Culturable Command Area,Irrigation potential created - Kharif,Irrigation potential created - Rabi,Irrigation potential created - Perennial,Irrigation potential created - Others
ANDHRA PRADESH,GUNTUR,CHILAKALURIPET,1,1,0,0,0
ANDHRA PRADESH,GUNTUR,DURGI,69,69,0,0,0
ANDHRA PRADESH,GUNTUR,EDLAPADU,124,124,0,0,0
ANDHRA PRADESH,GUNTUR,GUNTUR,323,336,0,0,0
ANDHRA PRADESH,GUNTUR,IPURU,703,822,0,0,0
ANDHRA PRADESH,GUNTUR,KAREMPUDI,130,130,0,0,0
ANDHRA PRADESH,GUNTUR,KROSURU,364,339,24,0,0
ANDHRA PRADESH,GUNTUR,MACHAVARAM,478,422,56,0,0
ANDHRA PRADESH,GUNTUR,MACHERLA,256,256,0,0,0
ANDHRA PRADESH,GUNTUR,MANGALAGIRI,150,150,0,0,0
ANDHRA PRADESH,GUNTUR,MEDIKONDURU,24,24,0,0,0
ANDHRA PRADESH,GUNTUR,MUPPALLA,77,77,0,0,0
ANDHRA PRADESH,GUNTUR,NAKARIKALLU,242,220,22,0,0
ANDHRA PRADESH,GUNTUR,NARASARAOPETA,599,421,178,0,0
ANDHRA PRADESH,GUNTUR,NUZENDLA,479,479,0,0,0
ANDHRA PRADESH,GUNTUR,PEDAKAKANI,93,93,0,0,0
ANDHRA PRADESH,GUNTUR,PEDAKURAPADU,28,28,0,0,0
ANDHRA PRADESH,GUNTUR,PHIRANGIPURAM,50,31,37,2,0
ANDHRA PRADESH,GUNTUR,PIDUGURALLA,228,228,0,0,0
ANDHRA PRADESH,GUNTUR,PRATHIPADU,279,279,0,0,0
ANDHRA PRADESH,GUNTUR,RAJUPALEM,26,26,0,0,0
ANDHRA PRADESH,GUNTUR,RENTACRINTALA,27,27,0,0,0
ANDHRA PRADESH,GUNTUR,ROMPICHERLA,232,225,0,0,7
ANDHRA PRADESH,GUNTUR,SATTENAPALLE,191,191,0,0,0
ANDHRA PRADESH,GUNTUR,SAVALYAPURAM,190,190,0,0,0
ANDHRA PRADESH,GUNTUR,TADIKONDA,440,440,0,0,0
ANDHRA PRADESH,GUNTUR,THADEPALLE,7,7,0,0,0
ANDHRA PRADESH,GUNTUR,THULLUR,50,50,0,0,0
ANDHRA PRADESH,GUNTUR,VATTICHERUKURU,44,44,0,0,0
ANDHRA PRADESH,GUNTUR,VELDURTHI,514,514,0,0,0
ANDHRA PRADESH,GUNTUR,VINUKONDA,844,752,92,0,0
ANDHRA PRADESH,KARIMNAGAR,BEJJANKI,1519,1519,0,0,0
ANDHRA PRADESH,KARIMNAGAR,BHEEMADEVARPALLE,1338,1338,177,0,0
ANDHRA PRADESH,KARIMNAGAR,BOINPALLE,1144,1144,8,0,0
ANDHRA PRADESH,KARIMNAGAR,CHANDURTHI,1406,1406,0,0,0
ANDHRA PRADESH,KARIMNAGAR,CHIGURUMAMIDI,1465,1465,708,0,0
ANDHRA PRADESH,KARIMNAGAR,CHOPPADANDI,1457,1107,371,0,0
ANDHRA PRADESH,KARIMNAGAR,DHARMAPURI,1861,1861,794,0,0
ANDHRA PRADESH,KARIMNAGAR,DHARMARAM,1172,1160,689,0,0
ANDHRA PRADESH,KARIMNAGAR,ELEGADE,585,577,367,0,0
ANDHRA PRADESH,KARIMNAGAR,ELKATHURTHI,1778,1778,117,0,0
ANDHRA PRADESH,KARIMNAGAR,ELLANTHAKUNTA,1554,1554,149,0,0
ANDHRA PRADESH,KARIMNAGAR,GAMBHIRAOPET,1774,1774,0,0,0
ANDHRA PRADESH,KARIMNAGAR,GANGADHARA,1782,1013,958,0,0
ANDHRA PRADESH,KARIMNAGAR,GOLLAPALLE,849,841,88,0,0
ANDHRA PRADESH,KARIMNAGAR,HUSNABAD,2898,2812,339,0,0
ANDHRA PRADESH,KARIMNAGAR,HUZURABAD,1848,1848,73,0,0
ANDHRA PRADESH,KARIMNAGAR,IBRAHIMPATNAM,1457,1454,833,0,0
ANDHRA PRADESH,KARIMNAGAR,JAGTIAL,1595,1370,997,0,0
